input_1,input_2,input_3,output
135,288,980,288
19,846,310,846
998,69,217,69
87,346,469,346
776,684,35,684
300,283,562,283
374,170,320,170
472,205,665,205
109,5,147,5
84,29,913,29
567,696,328,696
898,981,448,981
977,723,822,723
352,471,281,471
140,753,94,753
131,889,633,889
689,410,269,410
142,484,615,484
945,677,173,677
305,960,352,960
358,513,69,513
641,544,669,544
483,853,56,853
984,995,171,995
29,214,254,214
577,898,227,898
444,267,659,267
334,624,865,624
656,801,133,801
221,39,901,39
995,93,771,93
212,930,844,930
0,706,255,706
334,845,129,845
653,896,501,896
239,765,432,765
209,219,2,219
923,513,44,513
406,324,561,324
228,54,429,54
38,83,104,83
883,181,804,181
607,117,303,117
159,680,999,680
490,996,656,996
50,610,704,610
710,189,892,189
302,767,551,767
976,470,120,470
813,829,804,829
69,349,145,349
923,781,571,781
147,683,770,683
241,199,638,199
4,80,809,80
964,995,183,995
673,996,361,996
431,989,926,989
407,848,601,848
124,927,683,927
368,226,282,226
512,886,666,886
552,94,296,94
569,409,938,409
713,762,939,762
491,76,451,76
930,850,305,850
733,161,106,161
269,733,461,733
688,894,904,894
920,63,288,63
197,291,642,291
621,412,174,412
40,454,363,454
334,52,185,52
884,224,211,224
502,902,670,902
267,115,814,115
255,153,939,153
114,398,905,398
504,129,802,129
122,588,179,588
122,253,962,253
654,790,544,790
96,233,313,233
848,781,209,781
263,650,317,650
277,963,225,963
586,169,0,169
172,381,457,381
762,277,286,277
600,641,848,641
953,381,580,381
608,479,854,479
327,595,509,595
104,763,75,763
312,823,533,823
178,206,733,206
754,879,536,879
174,726,297,726
