"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.323816511663094,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.647877091368996,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.648640419365843,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.654975486013278,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.264329074771477,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.618289273602765,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.041392495461196,0.579494936456744,"137","40",FALSE
"8","smallest","25","full","cohort",0.864152263409503,1,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.0910063756916732,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.0510658178264697,0.663855631744106,"137","49",FALSE
"11","smallest","10","full","cohort",0.467397285224491,1,"137","42",FALSE
"12","smallest","10","cohort","downsampled",0.0215807771125147,0.323711656687721,"42","49",FALSE
"13","smallest","5","full","downsampled",0.318185953344615,1,"137","50",FALSE
"14","smallest","5","full","cohort",0.146377381072776,1,"137","46",FALSE
"15","smallest","5","cohort","downsampled",0.0854646692492892,1,"46","50",FALSE
"16","median","100","full","downsampled",1,1,"176","28",FALSE
"17","median","100","full","cohort",0.368837221533515,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.579953854982303,1,"33","28",FALSE
"19","median","50","full","downsampled",0.164232786597093,1,"176","38",FALSE
"20","median","50","full","cohort",0.163305897363313,1,"176","36",FALSE
"21","median","50","cohort","downsampled",0.0330139792753642,0.429181730579735,"36","38",FALSE
"22","median","25","full","downsampled",0.588893103312296,1,"176","42",FALSE
"23","median","25","full","cohort",0.0833150410908388,0.833150410908388,"176","47",FALSE
"24","median","25","cohort","downsampled",0.0685456744027781,0.754002418430559,"47","42",FALSE
"25","median","10","full","downsampled",0.000734948879532648,0.0110242331929897,"176","50",TRUE
"26","median","10","full","cohort",0.826806234637435,1,"176","43",FALSE
"27","median","10","cohort","downsampled",0.00691689589031263,0.0968365424643768,"43","50",FALSE
"28","median","5","full","downsampled",0.117207587638463,1,"176","48",FALSE
"29","median","5","full","cohort",0.460131056385714,1,"176","46",FALSE
"30","median","5","cohort","downsampled",0.0418926397252228,0.502711676702674,"46","48",FALSE
"31","grade","100","full","downsampled",0.0786974977937373,0.786974977937373,"54","11",FALSE
"32","grade","100","full","cohort",0.745793788016094,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.211496674008452,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.916381139574537,1,"54","31",FALSE
"35","grade","50","full","cohort",0.124626577328685,1,"54","30",FALSE
"36","grade","50","cohort","downsampled",0.118037608535357,1,"30","31",FALSE
"37","grade","25","full","downsampled",0.052478598929732,0.577264588227052,"54","44",FALSE
"38","grade","25","full","cohort",0.332318123768848,1,"54","43",FALSE
"39","grade","25","cohort","downsampled",0.00178891519171167,0.0232558974922517,"43","44",TRUE
"40","grade","10","full","downsampled",0.0159436989347678,0.191324387217214,"54","48",FALSE
"41","grade","10","full","cohort",0.256414573372238,1,"54","45",FALSE
"42","grade","10","cohort","downsampled",0.198839551712154,1,"45","48",FALSE
"43","grade","5","full","downsampled",1.19340528196648e-06,1.79010792294972e-05,"54","50",TRUE
"44","grade","5","full","cohort",0.199185128846925,1,"54","48",FALSE
"45","grade","5","cohort","downsampled",4.87639236506825e-05,0.000682694931109555,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.246106459599057,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.585769292535264,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.245447130618107,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.354297745934925,1,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.174925942438494,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.893886811328039,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.336291138480541,1,"125","37",FALSE
"53","for-loop-index","25","full","cohort",2.76229977721431e-06,3.5909897103786e-05,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",0.000598663186067523,0.00718395823281028,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",0.216395667764962,1,"125","33",FALSE
"56","for-loop-index","10","full","cohort",6.80371514312131e-07,9.75229595424411e-06,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",6.50153063616274e-07,9.75229595424411e-06,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.574387408684184,1,"125","45",FALSE
"59","for-loop-index","5","full","cohort",0.0055260296622627,0.0607863262848897,"125","34",FALSE
"60","for-loop-index","5","cohort","downsampled",0.0102285499139984,0.102285499139984,"34","45",FALSE
