"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.673731693347296,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.729441647110975,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.986916540360794,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.675343353900261,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.0381209849099518,0.498590442755019,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.197159114641593,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.0495055755500324,0.58328414385426,"137","40",FALSE
"8","smallest","25","full","cohort",0.0321900941554958,0.482851412332437,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.781025277993973,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.931011791442121,1,"137","49",FALSE
"11","smallest","10","full","cohort",0.116601901961914,1,"137","42",FALSE
"12","smallest","10","cohort","downsampled",0.201318148803027,1,"42","49",FALSE
"13","smallest","5","full","downsampled",0.422064948142713,1,"137","50",FALSE
"14","smallest","5","full","cohort",0.048607011987855,0.58328414385426,"137","46",FALSE
"15","smallest","5","cohort","downsampled",0.0356136030539299,0.498590442755019,"46","50",FALSE
"16","median","100","full","downsampled",0.949158897864715,1,"176","28",FALSE
"17","median","100","full","cohort",0.881554872165702,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.90208308462526,1,"33","28",FALSE
"19","median","50","full","downsampled",0.651183754701026,1,"176","38",FALSE
"20","median","50","full","cohort",0.559899456709066,1,"176","36",FALSE
"21","median","50","cohort","downsampled",0.411110974369608,1,"36","38",FALSE
"22","median","25","full","downsampled",0.320320586414791,1,"176","42",FALSE
"23","median","25","full","cohort",0.0622968242740584,0.809858715562759,"176","47",FALSE
"24","median","25","cohort","downsampled",0.601730085714504,1,"47","42",FALSE
"25","median","10","full","downsampled",0.442249364596089,1,"176","50",FALSE
"26","median","10","full","cohort",0.00582831520100604,0.0815964128140846,"176","43",FALSE
"27","median","10","cohort","downsampled",0.00353636965140097,0.0530455447710146,"43","50",FALSE
"28","median","5","full","downsampled",0.618828104784234,1,"176","48",FALSE
"29","median","5","full","cohort",0.483128849926031,1,"176","46",FALSE
"30","median","5","cohort","downsampled",0.78538462906298,1,"46","48",FALSE
"31","grade","100","full","downsampled",0.244632209144105,0.733896627432315,"54","11",FALSE
"32","grade","100","full","cohort",0.172781782890065,0.69112713156026,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.0317437307610951,0.190462384566571,"12","11",FALSE
"34","grade","50","full","downsampled",0.406063593244466,0.812127186488932,"54","31",FALSE
"35","grade","50","full","cohort",7.11913798840679e-05,0.000783105178724747,"54","30",TRUE
"36","grade","50","cohort","downsampled",0.0434060968425828,0.217030484212914,"30","31",FALSE
"37","grade","25","full","downsampled",0.948744686973677,0.948744686973677,"54","44",FALSE
"38","grade","25","full","cohort",1.6434330115389e-06,2.13646291500057e-05,"54","43",TRUE
"39","grade","25","cohort","downsampled",2.6400502480017e-05,0.000316806029760204,"43","44",TRUE
"40","grade","10","full","downsampled",0.0138671696465409,0.0979933358691424,"54","48",FALSE
"41","grade","10","full","cohort",5.94411629527304e-07,8.32176281338226e-06,"54","45",TRUE
"42","grade","10","cohort","downsampled",0.00460961869540978,0.0460961869540978,"45","48",TRUE
"43","grade","5","full","downsampled",0.0122491669836428,0.0979933358691424,"54","50",FALSE
"44","grade","5","full","cohort",2.88939057611282e-08,4.33408586416923e-07,"54","48",TRUE
"45","grade","5","cohort","downsampled",0.0092910048413671,0.0836190435723039,"48","50",FALSE
"46","for-loop-index","100","full","downsampled",0.324688571577927,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.512777844119615,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.844300378085292,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.000880527647204016,0.0132079147080602,"125","34",TRUE
"50","for-loop-index","50","full","cohort",0.686135610045626,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.0343965923551964,0.48155229297275,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.131493918461678,1,"125","37",FALSE
"53","for-loop-index","25","full","cohort",0.432931097998133,1,"125","28",FALSE
"54","for-loop-index","25","cohort","downsampled",0.507438424310033,1,"28","37",FALSE
"55","for-loop-index","10","full","downsampled",0.853860071951563,1,"125","33",FALSE
"56","for-loop-index","10","full","cohort",0.121157432033552,1,"125","38",FALSE
"57","for-loop-index","10","cohort","downsampled",0.0878003867754383,1,"38","33",FALSE
"58","for-loop-index","5","full","downsampled",0.622913921590336,1,"125","45",FALSE
"59","for-loop-index","5","full","cohort",0.22743164000138,1,"125","34",FALSE
"60","for-loop-index","5","cohort","downsampled",0.490989796355554,1,"34","45",FALSE
