"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.0740720002010373,0.592576001608298,"137","29",FALSE
"2","smallest","100","full","cohort",0.2974043054725,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.720391627646133,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.876674678614847,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.118474532221577,0.829321725551039,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.269082428960025,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.981811112358804,1,"137","40",FALSE
"8","smallest","25","full","cohort",0.00204930967939545,0.02254240647335,"137","43",TRUE
"9","smallest","25","cohort","downsampled",0.0188484456154403,0.169636010538963,"43","40",FALSE
"10","smallest","10","full","downsampled",0.00237175730019624,0.0237175730019624,"137","49",TRUE
"11","smallest","10","full","cohort",6.74496750637273e-06,8.09396100764728e-05,"137","42",TRUE
"12","smallest","10","cohort","downsampled",1.4577999258432e-08,1.89513990359616e-07,"42","49",TRUE
"13","smallest","5","full","downsampled",0.123554421981841,0.829321725551039,"137","50",FALSE
"14","smallest","5","full","cohort",2.5502637989597e-14,3.82539569843955e-13,"137","46",TRUE
"15","smallest","5","cohort","downsampled",1.98827242322488e-10,2.78358139251483e-09,"46","50",TRUE
"16","median","100","full","downsampled",0.520371834172001,1,"176","28",FALSE
"17","median","100","full","cohort",0.921293224384249,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.512932478215358,1,"33","28",FALSE
"19","median","50","full","downsampled",0.845395611202931,1,"176","38",FALSE
"20","median","50","full","cohort",0.0013834160465141,0.013834160465141,"176","36",TRUE
"21","median","50","cohort","downsampled",0.0174991132309095,0.139992905847276,"36","38",FALSE
"22","median","25","full","downsampled",0.532074703010893,1,"176","42",FALSE
"23","median","25","full","cohort",5.07568680574142e-06,5.58325548631556e-05,"176","47",TRUE
"24","median","25","cohort","downsampled",0.00572733818102207,0.0515460436291986,"47","42",FALSE
"25","median","10","full","downsampled",0.0480755673892464,0.336528971724725,"176","50",FALSE
"26","median","10","full","cohort",1.76959136159539e-09,2.30046877007401e-08,"176","43",TRUE
"27","median","10","cohort","downsampled",3.18500075611812e-09,3.82200090734174e-08,"43","50",TRUE
"28","median","5","full","downsampled",0.470066454790845,1,"176","48",FALSE
"29","median","5","full","cohort",1.48736743675601e-15,2.23105115513401e-14,"176","46",TRUE
"30","median","5","cohort","downsampled",1.35426205390629e-13,1.89596687546881e-12,"46","48",TRUE
"31","grade","100","full","downsampled",0.706803564621374,1,"54","11",FALSE
"32","grade","100","full","cohort",0.720761803390221,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.565783926666953,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.321886413956303,1,"54","31",FALSE
"35","grade","50","full","cohort",1.12203279212751e-05,0.000123423607134026,"54","30",TRUE
"36","grade","50","cohort","downsampled",0.000448372479603778,0.004035352316434,"30","31",TRUE
"37","grade","25","full","downsampled",0.490665611212341,1,"54","44",FALSE
"38","grade","25","full","cohort",1.25392498566292e-05,0.000125392498566292,"54","43",TRUE
"39","grade","25","cohort","downsampled",0.0027103800885652,0.0216830407085216,"43","44",TRUE
"40","grade","10","full","downsampled",0.148519629340662,0.891117776043972,"54","48",FALSE
"41","grade","10","full","cohort",6.39696356479372e-07,7.67635627775246e-06,"54","45",TRUE
"42","grade","10","cohort","downsampled",4.65588457147868e-11,6.05264994292228e-10,"45","48",TRUE
"43","grade","5","full","downsampled",0.052924660259961,0.370472621819727,"54","50",FALSE
"44","grade","5","full","cohort",1.68850393436733e-13,2.36390550811426e-12,"54","48",TRUE
"45","grade","5","cohort","downsampled",1.60611870763867e-14,2.409178061458e-13,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.74688972589403,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.0962640659213826,0.481320329606913,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.103387351820683,0.481320329606913,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.0606998970954507,0.424899279668155,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.525671733802119,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.314232173365582,0.942696520096746,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.0505882399183771,0.404705919347017,"125","37",FALSE
"53","for-loop-index","25","full","cohort",8.89656174003114e-06,8.89656174003114e-05,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",4.54488475900465e-06,4.99937323490511e-05,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",0.00627108111595248,0.0564397300435723,"125","33",FALSE
"56","for-loop-index","10","full","cohort",1.49984784213664e-08,1.79981741056397e-07,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",2.27405542626404e-09,2.95627205414325e-08,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.068370585539018,0.424899279668155,"125","45",FALSE
"59","for-loop-index","5","full","cohort",1.29090681783043e-11,1.8072695449626e-10,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",3.81378974397477e-12,5.72068461596216e-11,"34","45",TRUE
