"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.960430939830483,0.960430939830483,"137","29",FALSE
"2","smallest","100","full","cohort",0.279001382685312,0.837004148055936,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.451662243033607,0.903324486067214,"27","29",FALSE
"4","smallest","50","full","downsampled",3.81258137809356e-05,0.000266880696466549,"137","36",TRUE
"5","smallest","50","full","cohort",0.08972259153103,0.44861295765515,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.142095546206443,0.568382184825772,"36","36",FALSE
"7","smallest","25","full","downsampled",1.23038236693499e-18,1.59949707701549e-17,"137","40",TRUE
"8","smallest","25","full","cohort",0.000963873548939317,0.0057832412936359,"137","43",TRUE
"9","smallest","25","cohort","downsampled",1.27795440975916e-09,1.27795440975916e-08,"43","40",TRUE
"10","smallest","10","full","downsampled",2.46568557903926e-24,3.45195981065496e-23,"137","49",TRUE
"11","smallest","10","full","cohort",1.99783547405181e-07,1.79805192664663e-06,"137","42",TRUE
"12","smallest","10","cohort","downsampled",9.44428152476621e-14,1.03887096772428e-12,"42","49",TRUE
"13","smallest","5","full","downsampled",7.57596345100749e-26,1.13639451765112e-24,"137","50",TRUE
"14","smallest","5","full","cohort",7.84314528732073e-06,6.27451622985658e-05,"137","46",TRUE
"15","smallest","5","cohort","downsampled",2.29194038228353e-16,2.75032845874024e-15,"46","50",TRUE
"16","median","100","full","downsampled",0.591904481676404,1,"176","28",FALSE
"17","median","100","full","cohort",0.113825092947493,0.569125464737465,"176","33",FALSE
"18","median","100","cohort","downsampled",0.518283170508273,1,"33","28",FALSE
"19","median","50","full","downsampled",0.33136725408344,1,"176","38",FALSE
"20","median","50","full","cohort",0.0359907346728114,0.215944408036868,"176","36",FALSE
"21","median","50","cohort","downsampled",0.400734890148083,1,"36","38",FALSE
"22","median","25","full","downsampled",1.96234602262858e-19,2.55104982941715e-18,"176","42",TRUE
"23","median","25","full","cohort",0.00162036141627095,0.0113425299138966,"176","47",TRUE
"24","median","25","cohort","downsampled",3.55393971816078e-10,3.55393971816078e-09,"47","42",TRUE
"25","median","10","full","downsampled",2.03755712659456e-27,3.05633568989184e-26,"176","50",TRUE
"26","median","10","full","cohort",6.1011991964952e-09,4.88095935719616e-08,"176","43",TRUE
"27","median","10","cohort","downsampled",5.12193186541825e-16,5.63412505196007e-15,"43","50",TRUE
"28","median","5","full","downsampled",1.05846474433145e-26,1.48185064206403e-25,"176","48",TRUE
"29","median","5","full","cohort",4.32868411890249e-09,3.89581570701224e-08,"176","46",TRUE
"30","median","5","cohort","downsampled",1.3928655071162e-16,1.67143860853944e-15,"46","48",TRUE
"31","grade","100","full","downsampled",0.725479676337928,1,"54","11",FALSE
"32","grade","100","full","cohort",0.0543468034686916,0.217387213874766,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.159715939550944,0.479147818652832,"12","11",FALSE
"34","grade","50","full","downsampled",0.00165018287637555,0.0099010972582533,"54","31",TRUE
"35","grade","50","full","cohort",0.000911811755298769,0.00638268228709138,"54","30",TRUE
"36","grade","50","cohort","downsampled",0.976719837000777,1,"30","31",FALSE
"37","grade","25","full","downsampled",5.5212592378905e-09,5.5212592378905e-08,"54","44",TRUE
"38","grade","25","full","cohort",0.00315052260127141,0.015752613006357,"54","43",TRUE
"39","grade","25","cohort","downsampled",0.000681326353828613,0.0054506108306289,"43","44",TRUE
"40","grade","10","full","downsampled",5.14088098435654e-18,7.19723337809916e-17,"54","48",TRUE
"41","grade","10","full","cohort",2.19837827951254e-06,1.97854045156129e-05,"54","45",TRUE
"42","grade","10","cohort","downsampled",1.36697123056282e-15,1.64036547667538e-14,"45","48",TRUE
"43","grade","5","full","downsampled",1.18654285618896e-18,1.77981428428344e-17,"54","50",TRUE
"44","grade","5","full","cohort",1.35731876256283e-10,1.49305063881911e-09,"54","48",TRUE
"45","grade","5","cohort","downsampled",1.40307240535673e-17,1.82399412696375e-16,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.19572967317631,0.78291869270524,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.627271619222905,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.125257729683974,0.62628864841987,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.00039643624728308,0.00317148997826464,"125","34",TRUE
"50","for-loop-index","50","full","cohort",0.982910862456447,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.0145408414943963,0.101785890460774,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",4.91462285148875e-11,5.8975474217865e-10,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.466815207440468,1,"125","28",FALSE
"54","for-loop-index","25","cohort","downsampled",1.03258748914194e-05,0.000103258748914194,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",9.32502117475817e-17,1.30550296446614e-15,"125","33",TRUE
"56","for-loop-index","10","full","cohort",0.054368127179383,0.326208763076298,"125","38",FALSE
"57","for-loop-index","10","cohort","downsampled",5.25323801062215e-11,5.8975474217865e-10,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",5.58198022982037e-23,8.37297034473056e-22,"125","45",TRUE
"59","for-loop-index","5","full","cohort",8.4542553181912e-05,0.000760882978637208,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",4.3032675677051e-13,5.59424783801663e-12,"34","45",TRUE
