"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.160490854634216,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.185640442758541,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.895632416096744,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.00655652599477127,0.0590087339529414,"137","36",FALSE
"5","smallest","50","full","cohort",0.980608277858788,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.0246499445770561,0.197199556616449,"36","36",FALSE
"7","smallest","25","full","downsampled",9.73828777827753e-06,0.000107121165561053,"137","40",TRUE
"8","smallest","25","full","cohort",0.672516985683054,1,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.000204183033821955,0.00204183033821955,"43","40",TRUE
"10","smallest","10","full","downsampled",8.23251457997739e-12,9.87901749597287e-11,"137","49",TRUE
"11","smallest","10","full","cohort",0.67421122590865,1,"137","42",FALSE
"12","smallest","10","cohort","downsampled",4.43381892275817e-12,5.76396459958562e-11,"42","49",TRUE
"13","smallest","5","full","downsampled",1.40543760060401e-12,1.96761264084561e-11,"137","50",TRUE
"14","smallest","5","full","cohort",0.416632073250738,1,"137","46",FALSE
"15","smallest","5","cohort","downsampled",4.17825700974474e-13,6.26738551461711e-12,"46","50",TRUE
"16","median","100","full","downsampled",0.524854338475209,1,"176","28",FALSE
"17","median","100","full","cohort",0.561723678400853,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.262001532610686,1,"33","28",FALSE
"19","median","50","full","downsampled",0.411148013328399,1,"176","38",FALSE
"20","median","50","full","cohort",0.0795403164674808,0.494117870543584,"176","36",FALSE
"21","median","50","cohort","downsampled",0.0242109895990019,0.217898906391017,"36","38",FALSE
"22","median","25","full","downsampled",0.000713797605026005,0.00713797605026005,"176","42",TRUE
"23","median","25","full","cohort",0.126152147387617,0.630760736938085,"176","47",FALSE
"24","median","25","cohort","downsampled",2.60871370096166e-07,2.86958507105783e-06,"47","42",TRUE
"25","median","10","full","downsampled",8.94864045010612e-13,1.07383685401273e-11,"176","50",TRUE
"26","median","10","full","cohort",0.070588267220512,0.494117870543584,"176","43",FALSE
"27","median","10","cohort","downsampled",8.46444482042432e-14,1.10037782665516e-12,"43","50",TRUE
"28","median","5","full","downsampled",1.32410699931121e-17,1.85374979903569e-16,"176","48",TRUE
"29","median","5","full","cohort",0.0536411622656753,0.429129298125402,"176","46",FALSE
"30","median","5","cohort","downsampled",1.02048490412461e-19,1.53072735618692e-18,"46","48",TRUE
"31","grade","100","full","downsampled",0.752821052171769,1,"54","11",FALSE
"32","grade","100","full","cohort",0.124090946165176,0.868636623156232,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.133548508296119,0.868636623156232,"12","11",FALSE
"34","grade","50","full","downsampled",0.0546267052837834,0.491640347554051,"54","31",FALSE
"35","grade","50","full","cohort",0.951615012813145,1,"54","30",FALSE
"36","grade","50","cohort","downsampled",0.0746784850681218,0.597427880544974,"30","31",FALSE
"37","grade","25","full","downsampled",0.000840456552909637,0.00840456552909637,"54","44",TRUE
"38","grade","25","full","cohort",0.686924730896486,1,"54","43",FALSE
"39","grade","25","cohort","downsampled",8.55136596245084e-05,0.000940650255869592,"43","44",TRUE
"40","grade","10","full","downsampled",7.03318396829007e-11,8.43982076194808e-10,"54","48",TRUE
"41","grade","10","full","cohort",0.144796070066569,0.868636623156232,"54","45",FALSE
"42","grade","10","cohort","downsampled",2.71673919212521e-13,3.80343486897529e-12,"45","48",TRUE
"43","grade","5","full","downsampled",9.42404849876611e-12,1.22512630483959e-10,"54","50",TRUE
"44","grade","5","full","cohort",0.655714955981939,1,"54","48",FALSE
"45","grade","5","cohort","downsampled",3.14855162902802e-15,4.72282744354203e-14,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.288449474335071,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.0424651623838712,0.382186461454841,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.527039943214194,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.921360439449603,1,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.595540412292338,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.678610164967987,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",2.22524475709578e-06,2.44776923280536e-05,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.623625803647845,1,"125","28",FALSE
"54","for-loop-index","25","cohort","downsampled",2.67263795677385e-05,0.000267263795677385,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",4.22985152935707e-11,5.49880698816419e-10,"125","33",TRUE
"56","for-loop-index","10","full","cohort",0.397660747182971,1,"125","38",FALSE
"57","for-loop-index","10","cohort","downsampled",1.67891810851153e-10,2.01470173021384e-09,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",5.19577591186084e-14,7.79366386779126e-13,"125","45",TRUE
"59","for-loop-index","5","full","cohort",0.874825235707896,1,"125","34",FALSE
"60","for-loop-index","5","cohort","downsampled",3.81378974397477e-12,5.33930564156468e-11,"34","45",TRUE
