"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.428832077881983,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.76974351211234,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.882623865864956,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.810809204535239,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.179343961426645,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.35542146006801,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.236402579693559,1,"137","40",FALSE
"8","smallest","25","full","cohort",0.869399140488843,1,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.517480471459282,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.180565565493413,1,"137","49",FALSE
"11","smallest","10","full","cohort",0.511123216566513,1,"137","42",FALSE
"12","smallest","10","cohort","downsampled",0.771326813612258,1,"42","49",FALSE
"13","smallest","5","full","downsampled",0.0139799229474951,0.209698844212427,"137","50",FALSE
"14","smallest","5","full","cohort",0.525122089744781,1,"137","46",FALSE
"15","smallest","5","cohort","downsampled",0.100318438283469,1,"46","50",FALSE
"16","median","100","full","downsampled",0.837464155613037,1,"176","28",FALSE
"17","median","100","full","cohort",0.969965123267889,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.850560487941183,1,"33","28",FALSE
"19","median","50","full","downsampled",0.442954433766754,1,"176","38",FALSE
"20","median","50","full","cohort",0.998810037265605,1,"176","36",FALSE
"21","median","50","cohort","downsampled",0.581137160904123,1,"36","38",FALSE
"22","median","25","full","downsampled",0.971757963254807,1,"176","42",FALSE
"23","median","25","full","cohort",0.978675297999575,1,"176","47",FALSE
"24","median","25","cohort","downsampled",0.954108040723682,1,"47","42",FALSE
"25","median","10","full","downsampled",0.11075488786691,1,"176","50",FALSE
"26","median","10","full","cohort",0.470039698238767,1,"176","43",FALSE
"27","median","10","cohort","downsampled",0.0506631448132417,0.759947172198626,"43","50",FALSE
"28","median","5","full","downsampled",0.19423979211178,1,"176","48",FALSE
"29","median","5","full","cohort",0.132722548867669,1,"176","46",FALSE
"30","median","5","cohort","downsampled",0.87674689302986,1,"46","48",FALSE
"31","grade","100","full","downsampled",0.0815387940324773,1,"54","11",FALSE
"32","grade","100","full","cohort",0.218132570929491,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.0309822155676344,0.464733233514516,"12","11",FALSE
"34","grade","50","full","downsampled",0.927218872346626,1,"54","31",FALSE
"35","grade","50","full","cohort",0.29540533441122,1,"54","30",FALSE
"36","grade","50","cohort","downsampled",0.227899383430028,1,"30","31",FALSE
"37","grade","25","full","downsampled",0.315389217805104,1,"54","44",FALSE
"38","grade","25","full","cohort",0.593300470811448,1,"54","43",FALSE
"39","grade","25","cohort","downsampled",0.108422794090895,1,"43","44",FALSE
"40","grade","10","full","downsampled",0.970564790848473,1,"54","48",FALSE
"41","grade","10","full","cohort",0.620104290935792,1,"54","45",FALSE
"42","grade","10","cohort","downsampled",0.772946822705849,1,"45","48",FALSE
"43","grade","5","full","downsampled",0.89900411934572,1,"54","50",FALSE
"44","grade","5","full","cohort",0.660210384441614,1,"54","48",FALSE
"45","grade","5","cohort","downsampled",0.540901523721707,1,"48","50",FALSE
"46","for-loop-index","100","full","downsampled",0.295538048830196,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.581722675476924,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.781838016126182,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.000597641474829249,0.00896462212243874,"125","34",TRUE
"50","for-loop-index","50","full","cohort",0.494425065987029,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.0467847165447416,0.597116975739441,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.0799999079891507,0.799999079891507,"125","37",FALSE
"53","for-loop-index","25","full","cohort",0.263629020503752,1,"125","28",FALSE
"54","for-loop-index","25","cohort","downsampled",0.652166088314051,1,"28","37",FALSE
"55","for-loop-index","10","full","downsampled",0.955558346433717,1,"125","33",FALSE
"56","for-loop-index","10","full","cohort",0.0275964590417032,0.386350426583845,"125","38",FALSE
"57","for-loop-index","10","cohort","downsampled",0.0459320750568801,0.597116975739441,"38","33",FALSE
"58","for-loop-index","5","full","downsampled",0.376206926797448,1,"125","45",FALSE
"59","for-loop-index","5","full","cohort",0.0623386761311077,0.685725437442185,"125","34",FALSE
"60","for-loop-index","5","cohort","downsampled",0.394044680819203,1,"34","45",FALSE
