"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.137750336804148,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.450970081251201,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.684165360021791,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.76910590076263,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.136182271084236,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.469904287681697,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.243523872352728,1,"137","40",FALSE
"8","smallest","25","full","cohort",0.00117856165291482,0.012964178182063,"137","43",TRUE
"9","smallest","25","cohort","downsampled",0.2817851792603,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.0968547199662841,0.968547199662841,"137","49",FALSE
"11","smallest","10","full","cohort",1.14864794017835e-07,1.49324232223186e-06,"137","42",TRUE
"12","smallest","10","cohort","downsampled",8.58102825059863e-07,1.02972339007184e-05,"42","49",TRUE
"13","smallest","5","full","downsampled",0.71755366025375,1,"137","50",FALSE
"14","smallest","5","full","cohort",1.50669853008257e-15,2.26004779512385e-14,"137","46",TRUE
"15","smallest","5","cohort","downsampled",9.78440148432258e-10,1.36981620780516e-08,"46","50",TRUE
"16","median","100","full","downsampled",0.405222777647372,1,"176","28",FALSE
"17","median","100","full","cohort",0.92627575074172,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.476503646899114,1,"33","28",FALSE
"19","median","50","full","downsampled",0.822846801408647,1,"176","38",FALSE
"20","median","50","full","cohort",0.0237114940351752,0.237114940351752,"176","36",FALSE
"21","median","50","cohort","downsampled",0.0970716938706253,0.776573550965002,"36","38",FALSE
"22","median","25","full","downsampled",0.157243638842041,1,"176","42",FALSE
"23","median","25","full","cohort",4.02694384544158e-06,4.42963822998574e-05,"176","47",TRUE
"24","median","25","cohort","downsampled",0.045892472600174,0.413032253401566,"47","42",FALSE
"25","median","10","full","downsampled",0.16129660060134,1,"176","50",FALSE
"26","median","10","full","cohort",7.03435978113592e-10,9.84810369359029e-09,"176","43",TRUE
"27","median","10","cohort","downsampled",2.10595139983301e-07,2.52714167979961e-06,"43","50",TRUE
"28","median","5","full","downsampled",0.557411371142219,1,"176","48",FALSE
"29","median","5","full","cohort",3.43011024916462e-14,5.14516537374693e-13,"176","46",TRUE
"30","median","5","cohort","downsampled",3.58316432331408e-09,4.6581136203083e-08,"46","48",TRUE
"31","grade","100","full","downsampled",0.618046628668569,1,"54","11",FALSE
"32","grade","100","full","cohort",0.577566570552191,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.927908005307386,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.0658174505011244,0.460722153507871,"54","31",FALSE
"35","grade","50","full","cohort",1.17253531732074e-07,1.40704238078489e-06,"54","30",TRUE
"36","grade","50","cohort","downsampled",1.78929229072657e-05,0.000161036306165391,"30","31",TRUE
"37","grade","25","full","downsampled",0.312177884450247,1,"54","44",FALSE
"38","grade","25","full","cohort",4.57461977343439e-07,4.57461977343439e-06,"54","43",TRUE
"39","grade","25","cohort","downsampled",7.33166082395401e-05,0.000586532865916321,"43","44",TRUE
"40","grade","10","full","downsampled",0.0854947726880465,0.512968636128279,"54","48",FALSE
"41","grade","10","full","cohort",5.11183417837931e-10,6.6453844318931e-09,"54","45",TRUE
"42","grade","10","cohort","downsampled",2.46432316186905e-07,2.71075547805596e-06,"45","48",TRUE
"43","grade","5","full","downsampled",0.208062446209451,1,"54","50",FALSE
"44","grade","5","full","cohort",2.683214879135e-14,4.0248223187025e-13,"54","48",TRUE
"45","grade","5","cohort","downsampled",5.52991213330464e-11,7.7418769866265e-10,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.402527818527257,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.595542261231357,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.361838416365312,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.193546117043274,1,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.169001797580308,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.730782539448393,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.167451684813785,1,"125","37",FALSE
"53","for-loop-index","25","full","cohort",1.03759156809971e-07,1.34886903852962e-06,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",1.28290184503401e-07,1.53948221404081e-06,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",0.210104248972337,1,"125","33",FALSE
"56","for-loop-index","10","full","cohort",1.37833250511419e-09,1.92966550715987e-08,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",1.36834153291975e-07,1.53948221404081e-06,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.952119422681071,1,"125","45",FALSE
"59","for-loop-index","5","full","cohort",4.13750885402866e-10,6.20626328104299e-09,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",9.09367374703229e-07,9.09367374703229e-06,"34","45",TRUE
