"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.166264526885678,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.76301134955032,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.588405675810359,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.373462594679561,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.498495985923716,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.914791429036672,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.0689634413251512,0.896524737226966,"137","40",FALSE
"8","smallest","25","full","cohort",0.917169532797384,1,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.211792285878261,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.00948467288334559,0.142270093250184,"137","49",FALSE
"11","smallest","10","full","cohort",0.336244727187855,1,"137","42",FALSE
"12","smallest","10","cohort","downsampled",0.129355782186354,1,"42","49",FALSE
"13","smallest","5","full","downsampled",0.0363866759980351,0.509413463972491,"137","50",FALSE
"14","smallest","5","full","cohort",0.790698630825568,1,"137","46",FALSE
"15","smallest","5","cohort","downsampled",0.105044618427199,1,"46","50",FALSE
"16","median","100","full","downsampled",0.939558160994674,1,"176","28",FALSE
"17","median","100","full","cohort",0.559602065804202,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.60737858103489,1,"33","28",FALSE
"19","median","50","full","downsampled",0.0680978966590315,0.817174759908378,"176","38",FALSE
"20","median","50","full","cohort",0.359164357840288,1,"176","36",FALSE
"21","median","50","cohort","downsampled",0.0708914534925267,0.817174759908378,"36","38",FALSE
"22","median","25","full","downsampled",0.618306078446574,1,"176","42",FALSE
"23","median","25","full","cohort",0.635054349062683,1,"176","47",FALSE
"24","median","25","cohort","downsampled",0.344561444916245,1,"47","42",FALSE
"25","median","10","full","downsampled",0.00024451528003398,0.0036677292005097,"176","50",TRUE
"26","median","10","full","cohort",0.247773209007607,1,"176","43",FALSE
"27","median","10","cohort","downsampled",0.0174391353660648,0.226708759758842,"43","50",FALSE
"28","median","5","full","downsampled",0.00698975114385872,0.0978565160140221,"176","48",FALSE
"29","median","5","full","cohort",0.134151811806031,1,"176","46",FALSE
"30","median","5","cohort","downsampled",0.308985202748527,1,"46","48",FALSE
"31","grade","100","full","downsampled",0.0553698657181588,0.553698657181588,"54","11",FALSE
"32","grade","100","full","cohort",0.566207574008292,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.206948937563287,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.819445259994685,1,"54","31",FALSE
"35","grade","50","full","cohort",0.0618775100590549,0.556897590531494,"54","30",FALSE
"36","grade","50","cohort","downsampled",0.159497534049648,0.956985204297888,"30","31",FALSE
"37","grade","25","full","downsampled",0.0712994236068097,0.570395388854478,"54","44",FALSE
"38","grade","25","full","cohort",0.757586719205271,1,"54","43",FALSE
"39","grade","25","cohort","downsampled",0.0403277296592685,0.443605026251954,"43","44",FALSE
"40","grade","10","full","downsampled",0.00556379973777872,0.0667655968533446,"54","48",FALSE
"41","grade","10","full","cohort",0.127249506076184,0.890746542533288,"54","45",FALSE
"42","grade","10","cohort","downsampled",0.215787311412462,1,"45","48",FALSE
"43","grade","5","full","downsampled",2.07989432476925e-07,3.11984148715387e-06,"54","50",TRUE
"44","grade","5","full","cohort",0.00263702619268725,0.0342813405049342,"54","48",TRUE
"45","grade","5","cohort","downsampled",0.0024075030995731,0.0337050433940234,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.447863002875512,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.66249659608966,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.349555377718961,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.110399976750034,1,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.277792313873266,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.761015609256249,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.42604324299352,1,"125","37",FALSE
"53","for-loop-index","25","full","cohort",0.000351151347320073,0.0052672702098011,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",0.00161463292227313,0.0209902279895507,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",0.295621711678222,1,"125","33",FALSE
"56","for-loop-index","10","full","cohort",0.00203544339290432,0.0244253207148518,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",0.0011493232232725,0.016090525125815,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.382958383333638,1,"125","45",FALSE
"59","for-loop-index","5","full","cohort",0.759087917560526,1,"125","34",FALSE
"60","for-loop-index","5","cohort","downsampled",0.227001221994775,1,"34","45",FALSE
