"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.12161926526151,0.85133485683057,"137","29",FALSE
"2","smallest","100","full","cohort",0.147071334670025,0.88242800802015,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.961084370637075,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.055307369398646,0.497766324587814,"137","36",FALSE
"5","smallest","50","full","cohort",0.633521431162516,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.165217416622585,0.88242800802015,"36","36",FALSE
"7","smallest","25","full","downsampled",0.0244474702637795,0.244474702637795,"137","40",FALSE
"8","smallest","25","full","cohort",0.0796287355013129,0.637029884010503,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.320094281378991,1,"43","40",FALSE
"10","smallest","10","full","downsampled",2.647280633682e-06,3.4414648237866e-05,"137","49",TRUE
"11","smallest","10","full","cohort",0.57552577161613,1,"137","42",FALSE
"12","smallest","10","cohort","downsampled",4.33874072692837e-08,6.07423701769972e-07,"42","49",TRUE
"13","smallest","5","full","downsampled",3.02795779591601e-06,3.63354935509921e-05,"137","50",TRUE
"14","smallest","5","full","cohort",0.000366979833475458,0.00403677816823004,"137","46",TRUE
"15","smallest","5","cohort","downsampled",7.97117956192386e-13,1.19567693428858e-11,"46","50",TRUE
"16","median","100","full","downsampled",0.454525986365071,1,"176","28",FALSE
"17","median","100","full","cohort",0.396177958792536,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.251910528456847,1,"33","28",FALSE
"19","median","50","full","downsampled",0.289709411778947,1,"176","38",FALSE
"20","median","50","full","cohort",0.0188620020887158,0.150896016709726,"176","36",FALSE
"21","median","50","cohort","downsampled",0.00563361920032544,0.0563361920032544,"36","38",FALSE
"22","median","25","full","downsampled",0.134632390744937,0.673161953724685,"176","42",FALSE
"23","median","25","full","cohort",0.0898595115980404,0.539157069588242,"176","47",FALSE
"24","median","25","cohort","downsampled",0.00353888551046246,0.0389277406150871,"47","42",TRUE
"25","median","10","full","downsampled",0.000150398327338957,0.00195517825540644,"176","50",TRUE
"26","median","10","full","cohort",0.0409174132929507,0.286421893050655,"176","43",FALSE
"27","median","10","cohort","downsampled",7.35098064887852e-08,1.02913729084299e-06,"43","50",TRUE
"28","median","5","full","downsampled",0.000341361066846973,0.00409633280216368,"176","48",TRUE
"29","median","5","full","cohort",0.00914784553557186,0.0823306098201467,"176","46",FALSE
"30","median","5","cohort","downsampled",6.75767121643636e-10,1.01365068246545e-08,"46","48",TRUE
"31","grade","100","full","downsampled",0.386476230771233,1,"54","11",FALSE
"32","grade","100","full","cohort",0.469560539489551,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.103708513857928,0.622251083147568,"12","11",FALSE
"34","grade","50","full","downsampled",0.0142315605277067,0.12808404474936,"54","31",FALSE
"35","grade","50","full","cohort",0.372654742543431,1,"54","30",FALSE
"36","grade","50","cohort","downsampled",0.0364529863011683,0.255170904108178,"30","31",FALSE
"37","grade","25","full","downsampled",0.000380300006723201,0.00418330007395521,"54","44",TRUE
"38","grade","25","full","cohort",0.151511561168307,0.622251083147568,"54","43",FALSE
"39","grade","25","cohort","downsampled",0.00127594132325935,0.0127594132325935,"43","44",TRUE
"40","grade","10","full","downsampled",1.15953581473635e-07,1.39144297768362e-06,"54","48",TRUE
"41","grade","10","full","cohort",0.106796310283047,0.622251083147568,"54","45",FALSE
"42","grade","10","cohort","downsampled",5.97209564950675e-08,7.76372434435877e-07,"45","48",TRUE
"43","grade","5","full","downsampled",2.08351874166679e-08,2.91692623833351e-07,"54","50",TRUE
"44","grade","5","full","cohort",0.0267068043153279,0.213654434522623,"54","48",FALSE
"45","grade","5","cohort","downsampled",2.05819442535882e-10,3.08729163803823e-09,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.697793724224686,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.00671352550274867,0.060421729524738,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.062250054131006,0.498000433048048,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.83199591647065,1,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.553742631669793,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.699313878229582,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",6.65485711371262e-07,7.32034282508388e-06,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.904229969257261,1,"125","28",FALSE
"54","for-loop-index","25","cohort","downsampled",1.20820175458156e-06,1.20820175458156e-05,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",7.71851768086796e-09,1.08059247532151e-07,"125","33",TRUE
"56","for-loop-index","10","full","cohort",0.523612728693565,1,"125","38",FALSE
"57","for-loop-index","10","cohort","downsampled",3.01241370043165e-09,4.51862055064747e-08,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",3.80959684406399e-08,4.83119719682488e-07,"125","45",TRUE
"59","for-loop-index","5","full","cohort",0.815647543825802,1,"125","34",FALSE
"60","for-loop-index","5","cohort","downsampled",3.71630553601914e-08,4.83119719682488e-07,"34","45",TRUE
