"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.0989267067628086,0.494633533814043,"137","29",FALSE
"2","smallest","100","full","cohort",0.277321075146669,0.934965923933492,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.708242694255788,0.934965923933492,"27","29",FALSE
"4","smallest","50","full","downsampled",0.394925756256281,0.934965923933492,"137","36",FALSE
"5","smallest","50","full","cohort",0.0299512551286,0.2396100410288,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.0313227934698734,0.2396100410288,"36","36",FALSE
"7","smallest","25","full","downsampled",0.233741480983373,0.934965923933492,"137","40",FALSE
"8","smallest","25","full","cohort",0.0141944920015093,0.127750428013584,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.00414978158212978,0.0414978158212978,"43","40",TRUE
"10","smallest","10","full","downsampled",0.000163965210140182,0.001803617311542,"137","49",TRUE
"11","smallest","10","full","cohort",1.52821527050712e-05,0.000183385832460854,"137","42",TRUE
"12","smallest","10","cohort","downsampled",2.51832227666147e-10,3.27381895965991e-09,"42","49",TRUE
"13","smallest","5","full","downsampled",0.0457263470229733,0.27435808213784,"137","50",FALSE
"14","smallest","5","full","cohort",3.03552578796855e-14,4.55328868195282e-13,"137","46",TRUE
"15","smallest","5","cohort","downsampled",1.79727536425747e-11,2.51618550996046e-10,"46","50",TRUE
"16","median","100","full","downsampled",0.545271468889606,1,"176","28",FALSE
"17","median","100","full","cohort",0.847033611580412,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.560398068042295,1,"33","28",FALSE
"19","median","50","full","downsampled",0.797096402650774,1,"176","38",FALSE
"20","median","50","full","cohort",0.000142715052069261,0.00128443546862335,"176","36",TRUE
"21","median","50","cohort","downsampled",0.0099613786445847,0.0796910291566776,"36","38",FALSE
"22","median","25","full","downsampled",0.753169404289829,1,"176","42",FALSE
"23","median","25","full","cohort",1.50805133930965e-05,0.000165885647324061,"176","47",TRUE
"24","median","25","cohort","downsampled",9.95410680673111e-05,0.000995410680673111,"47","42",TRUE
"25","median","10","full","downsampled",0.0702904338462906,0.492033036924034,"176","50",FALSE
"26","median","10","full","cohort",3.12625551370149e-11,4.06413216781194e-10,"176","43",TRUE
"27","median","10","cohort","downsampled",6.55456219432482e-11,7.86547463318978e-10,"43","50",TRUE
"28","median","5","full","downsampled",0.297657267214979,1,"176","48",FALSE
"29","median","5","full","cohort",3.54122742475363e-16,5.31184113713044e-15,"176","46",TRUE
"30","median","5","cohort","downsampled",3.99973773311769e-16,5.59963282636477e-15,"46","48",TRUE
"31","grade","100","full","downsampled",0.97906336386083,1,"54","11",FALSE
"32","grade","100","full","cohort",0.683775683557488,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.565783926666953,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.555944885657932,1,"54","31",FALSE
"35","grade","50","full","cohort",0.00114066011266252,0.0114066011266252,"54","30",TRUE
"36","grade","50","cohort","downsampled",0.00273893586872248,0.0184277524108201,"30","31",TRUE
"37","grade","25","full","downsampled",0.351287275499308,1,"54","44",FALSE
"38","grade","25","full","cohort",0.00164388205567448,0.0131510564453958,"54","43",TRUE
"39","grade","25","cohort","downsampled",0.00263253605868859,0.0184277524108201,"43","44",TRUE
"40","grade","10","full","downsampled",2.03408319952446e-06,2.23749151947691e-05,"54","48",TRUE
"41","grade","10","full","cohort",0.00130452571219772,0.0117407314097795,"54","45",TRUE
"42","grade","10","cohort","downsampled",4.4114924176939e-10,6.17608938477146e-09,"45","48",TRUE
"43","grade","5","full","downsampled",7.76004606824573e-07,9.31205528189488e-06,"54","50",TRUE
"44","grade","5","full","cohort",1.38382272232946e-09,1.7989695390283e-08,"54","48",TRUE
"45","grade","5","cohort","downsampled",4.32397748398773e-14,6.48596622598159e-13,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.582544346212051,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.0177398338927722,0.124178837249405,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.245447130618107,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.250584924846504,1,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.990588339800804,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.435155993494914,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.000770103108723643,0.00616082486978914,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.0177398338927722,0.124178837249405,"125","28",FALSE
"54","for-loop-index","25","cohort","downsampled",2.03964849563581e-05,0.000203964849563581,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",1.07224266062038e-08,1.28669119274446e-07,"125","33",TRUE
"56","for-loop-index","10","full","cohort",0.000671709362165388,0.00604538425948849,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",1.24246137901973e-11,1.8636920685296e-10,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",5.81803511681772e-10,7.56344565186304e-09,"125","45",TRUE
"59","for-loop-index","5","full","cohort",6.81508025053536e-08,7.4965882755889e-07,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",5.38917758519099e-11,7.54484861926739e-10,"34","45",TRUE
