"","problem","treatment","num_tests","ctrl_solutions_found","ctrl_num_replicates","cond_solutions_found","cond_num_replicates","p_value","p_value_adj","significant_at_0_05","ctrl_pct","cond_pct"
"1","smallest","cohort","100",154,250,28,50,0.526371144358977,1,FALSE,0.616,0.56
"2","smallest","cohort","50",154,250,41,50,0.00560214300243607,0.0448171440194886,TRUE,0.616,0.82
"3","smallest","cohort","25",154,250,38,50,0.0547095634766583,0.32825738085995,FALSE,0.616,0.76
"4","smallest","cohort","10",154,250,46,50,1.15802149296762e-05,0.000115802149296762,TRUE,0.616,0.92
"5","smallest","cohort","5",154,250,48,50,2.47401485911763e-07,2.96881783094116e-06,TRUE,0.616,0.96
"6","smallest","reduced","100",154,250,31,50,1,1,FALSE,0.616,0.62
"7","smallest","reduced","50",154,250,35,50,0.335753047754473,1,FALSE,0.616,0.7
"8","smallest","reduced","25",154,250,14,50,1.72929426107757e-05,0.000155636483496981,TRUE,0.616,0.28
"9","smallest","reduced","10",154,250,10,50,5.62743537081269e-08,7.3156659820565e-07,TRUE,0.616,0.2
"10","smallest","reduced","5",154,250,3,50,3.8548570424231e-14,5.78228556363465e-13,TRUE,0.616,0.06
"11","smallest","downsampled","100",154,250,30,50,0.874170594738817,1,FALSE,0.616,0.6
"12","smallest","downsampled","50",154,250,37,50,0.108644504789663,0.543222523948315,FALSE,0.616,0.74
"13","smallest","downsampled","25",154,250,41,50,0.00560214300243607,0.0448171440194886,TRUE,0.616,0.82
"14","smallest","downsampled","10",154,250,48,50,2.47401485911763e-07,2.96881783094116e-06,TRUE,0.616,0.96
"15","smallest","downsampled","5",154,250,50,50,6.36509667233813e-10,8.91113534127338e-09,TRUE,0.616,1
"16","median","cohort","100",165,250,35,50,0.62578359112258,1,FALSE,0.66,0.7
"17","median","cohort","50",165,250,35,50,0.62578359112258,1,FALSE,0.66,0.7
"18","median","cohort","25",165,250,41,50,0.0295587352168243,0.20691114651777,FALSE,0.66,0.82
"19","median","cohort","10",165,250,45,50,0.000580474601893904,0.00522427141704514,TRUE,0.66,0.9
"20","median","cohort","5",165,250,46,50,0.00013657463596817,0.00150232099564987,TRUE,0.66,0.92
"21","median","reduced","100",165,250,39,50,0.134151136893993,0.804906821363958,FALSE,0.66,0.78
"22","median","reduced","50",165,250,36,50,0.510288224038182,1,FALSE,0.66,0.72
"23","median","reduced","25",165,250,19,50,0.000380975054808072,0.00380975054808072,TRUE,0.66,0.38
"24","median","reduced","10",165,250,5,50,8.41970462126973e-14,1.17875864697776e-12,TRUE,0.66,0.1
"25","median","reduced","5",165,250,0,50,1.00880922417665e-20,1.51321383626498e-19,TRUE,0.66,0
"26","median","downsampled","100",165,250,37,50,0.323056835016173,1,FALSE,0.66,0.74
"27","median","downsampled","50",165,250,39,50,0.134151136893993,0.804906821363958,FALSE,0.66,0.78
"28","median","downsampled","25",165,250,43,50,0.00426267695187226,0.0341014156149781,TRUE,0.66,0.86
"29","median","downsampled","10",165,250,47,50,2.67372276879229e-05,0.000320846732255075,TRUE,0.66,0.94
"30","median","downsampled","5",165,250,48,50,2.41371225482329e-06,3.13782593127028e-05,TRUE,0.66,0.96
"31","grade","cohort","100",69,250,16,50,0.606188292614493,1,FALSE,0.276,0.32
"32","grade","cohort","50",69,250,36,50,6.45120705459747e-09,5.80608634913772e-08,TRUE,0.276,0.72
"33","grade","cohort","25",69,250,41,50,7.10927580614166e-13,7.10927580614166e-12,TRUE,0.276,0.82
"34","grade","cohort","10",69,250,46,50,4.87005005135962e-18,5.84406006163154e-17,TRUE,0.276,0.92
"35","grade","cohort","5",69,250,50,50,3.44103394768073e-24,5.16155092152109e-23,TRUE,0.276,1
"36","grade","reduced","100",69,250,12,50,0.72758255471476,1,FALSE,0.276,0.24
"37","grade","reduced","50",69,250,23,50,0.0121092708236144,0.0484370832944576,TRUE,0.276,0.46
"38","grade","reduced","25",69,250,29,50,5.68753804471436e-05,0.000341252282682862,TRUE,0.276,0.58
"39","grade","reduced","10",69,250,3,50,0.000498921553788195,0.00249460776894098,TRUE,0.276,0.06
"40","grade","reduced","5",69,250,1,50,1.30956723316912e-05,9.16697063218384e-05,TRUE,0.276,0.02
"41","grade","downsampled","100",69,250,8,50,0.109918329537881,0.329754988613643,FALSE,0.276,0.16
"42","grade","downsampled","50",69,250,36,50,6.45120705459747e-09,5.80608634913772e-08,TRUE,0.276,0.72
"43","grade","downsampled","25",69,250,44,50,9.08467621283005e-16,9.99314383411306e-15,TRUE,0.276,0.88
"44","grade","downsampled","10",69,250,47,50,2.57628941961684e-19,3.34917624550189e-18,TRUE,0.276,0.94
"45","grade","downsampled","5",69,250,48,50,1.01539888209964e-20,1.4215584349395e-19,TRUE,0.276,0.96
"46","for-loop-index","cohort","100",109,250,22,50,1,1,FALSE,0.436,0.44
"47","for-loop-index","cohort","50",109,250,29,50,0.0866179510617966,0.606325657432576,FALSE,0.436,0.58
"48","for-loop-index","cohort","25",109,250,30,50,0.0429912728579472,0.386921455721525,FALSE,0.436,0.6
"49","for-loop-index","cohort","10",109,250,33,50,0.00494811272136809,0.054429239935049,FALSE,0.436,0.66
"50","for-loop-index","cohort","5",109,250,40,50,2.07584333816273e-06,2.90618067342782e-05,TRUE,0.436,0.8
"51","for-loop-index","reduced","100",109,250,23,50,0.757641330656005,1,FALSE,0.436,0.46
"52","for-loop-index","reduced","50",109,250,29,50,0.0866179510617966,0.606325657432576,FALSE,0.436,0.58
"53","for-loop-index","reduced","25",109,250,33,50,0.00494811272136809,0.054429239935049,FALSE,0.436,0.66
"54","for-loop-index","reduced","10",109,250,34,50,0.0018478525906824,0.0221742310881888,TRUE,0.436,0.68
"55","for-loop-index","reduced","5",109,250,23,50,0.757641330656005,1,FALSE,0.436,0.46
"56","for-loop-index","downsampled","100",109,250,25,50,0.438220844412589,1,FALSE,0.436,0.5
"57","for-loop-index","downsampled","50",109,250,28,50,0.121239580304554,0.606325657432576,FALSE,0.436,0.56
"58","for-loop-index","downsampled","25",109,250,30,50,0.0429912728579472,0.386921455721525,FALSE,0.436,0.6
"59","for-loop-index","downsampled","10",109,250,40,50,2.07584333816273e-06,2.90618067342782e-05,TRUE,0.436,0.8
"60","for-loop-index","downsampled","5",109,250,44,50,2.73277544263426e-09,4.09916316395139e-08,TRUE,0.436,0.88
