"","problem","treatment","num_tests","ctrl_solutions_found","ctrl_num_replicates","cond_solutions_found","cond_num_replicates","p_value","p_value_adj","significant_at_0_05","odds_ratio","lower_95_conf_int","upper_95_conf_int","ctrl_pct","cond_pct"
"1","smallest","cohort","100",148,250,29,50,0.876169682805974,1,FALSE,"0.951916958918232","0.493215985037651","1.86164016974437",0.592,0.58
"2","smallest","cohort","50",148,250,28,50,0.753450278931283,1,FALSE,"0.877538537165445","0.455425527498729","1.70729772786608",0.592,0.56
"3","smallest","cohort","25",148,250,20,50,0.0185937124130742,0.092968562065371,FALSE,"0.460675484439315","0.23393671872898","0.890842962948979",0.592,0.4
"4","smallest","cohort","10",148,250,11,50,1.73709051878824e-06,1.38967241503059e-05,TRUE,"0.195439715128628","0.0860835038828618","0.411475706109887",0.592,0.22
"5","smallest","cohort","5",148,250,6,50,2.98727045000029e-10,2.98727045000029e-09,TRUE,"0.0946315441664455","0.0317550232759085","0.234133926279597",0.592,0.12
"6","smallest","downsampled","100",148,250,30,50,1,1,FALSE,"1.03367468898363","0.534192281087095","2.03456080261044",0.592,0.6
"7","smallest","downsampled","50",148,250,31,50,0.754244972840351,1,FALSE,"1.12400964514428","0.578762850530938","2.22956208299741",0.592,0.62
"8","smallest","downsampled","25",148,250,11,50,1.73709051878824e-06,1.38967241503059e-05,TRUE,"0.195439715128628","0.0860835038828618","0.411475706109887",0.592,0.22
"9","smallest","downsampled","10",148,250,13,50,1.99074015832342e-05,0.000119444409499405,TRUE,"0.243298766639828","0.112772449262642","0.49609823724624",0.592,0.26
"10","smallest","downsampled","5",148,250,9,50,6.44149260069684e-08,5.79734334062716e-07,TRUE,"0.152207652872233","0.0622560786375943","0.335417274076402",0.592,0.18
"11","median","cohort","100",166,250,34,50,0.870951029713158,1,FALSE,"1.07505528937302","0.540951290864827","2.21130466728109",0.664,0.68
"12","median","cohort","50",166,250,30,50,0.417356284343264,1,FALSE,"0.759776128104976","0.390608630517553","1.50193124216872",0.664,0.6
"13","median","cohort","25",166,250,22,50,0.00378040586400021,0.0226824351840013,TRUE,"0.398899605641135","0.203904288381535","0.771568893629234",0.664,0.44
"14","median","cohort","10",166,250,12,50,3.40757888670932e-08,2.72606310936746e-07,TRUE,"0.160843216272985","0.0725271930705768","0.334196526826275",0.664,0.24
"15","median","cohort","5",166,250,3,50,2.58967074051833e-16,2.58967074051833e-15,TRUE,"0.0326316915998525","0.0063045126468781","0.106012052945252",0.664,0.06
"16","median","downsampled","100",166,250,32,50,0.745890548712351,1,FALSE,"0.899922268843988","0.458816798573556","1.80899210968939",0.664,0.64
"17","median","downsampled","50",166,250,36,50,0.510591042208016,1,FALSE,"1.30009825003092","0.641823312549632","2.75964794639139",0.664,0.72
"18","median","downsampled","25",166,250,25,50,0.0358165204277546,0.179082602138773,FALSE,"0.507231062251636","0.261699179485594","0.981931340028605",0.664,0.5
"19","median","downsampled","10",166,250,16,50,1.14771369412739e-05,8.03399585889173e-05,TRUE,"0.239361204248293","0.116281287399691","0.47503018778834",0.664,0.32
"20","median","downsampled","5",166,250,4,50,3.99496837792366e-15,3.59547154013129e-14,TRUE,"0.0444299565276571","0.0112318387992162","0.12764935340173",0.664,0.08
"21","grade","cohort","100",56,250,6,50,0.125288875810817,0.501155503243268,FALSE,"0.473411362128676","0.15671959633622","1.19510514729761",0.224,0.12
"22","grade","cohort","50",56,250,8,50,0.351201104397306,1,FALSE,"0.660705946282816","0.252994575323786","1.53395337484835",0.224,0.16
"23","grade","cohort","25",56,250,3,50,0.00594669936299702,0.0416268955409791,TRUE,"0.221936633827856","0.0425866993044671","0.731513870370715",0.224,0.06
"24","grade","cohort","10",56,250,4,50,0.019677923596878,0.118067541581268,FALSE,"0.302163461114432","0.0757533636762879","0.881524225598171",0.224,0.08
"25","grade","cohort","5",56,250,2,50,0.00141876925628291,0.0127689233065462,TRUE,"0.144921626287184","0.0165438332103143","0.583811481818518",0.224,0.04
"26","grade","downsampled","100",56,250,11,50,1,1,FALSE,"0.977180943618409","0.42298207532421","2.10546900422196",0.224,0.22
"27","grade","downsampled","50",56,250,12,50,0.853467952600458,1,FALSE,"1.09364587284932","0.486533223566572","2.31659636814302",0.224,0.24
"28","grade","downsampled","25",56,250,5,50,0.05381688362752,0.2690844181376,FALSE,"0.385917421158747","0.114103276214758","1.03564474910074",0.224,0.1
"29","grade","downsampled","10",56,250,2,50,0.00141876925628291,0.0127689233065462,TRUE,"0.144921626287184","0.0165438332103143","0.583811481818518",0.224,0.04
"30","grade","downsampled","5",56,250,0,50,1.50736919358562e-05,0.000150736919358562,TRUE,"0","0","0.277435490172803",0.224,0
"31","for-loop-index","cohort","100",118,250,21,50,0.537132376149358,1,FALSE,"0.810620137897063","0.415135579847528","1.56131585100774",0.472,0.42
"32","for-loop-index","cohort","50",118,250,15,50,0.0290667166242939,0.203467016370057,FALSE,"0.480549738171102","0.231543891630295","0.956574266225842",0.472,0.3
"33","for-loop-index","cohort","25",118,250,18,50,0.163332251735367,0.816661258676835,FALSE,"0.630197402248219","0.315329215598346","1.22718794453253",0.472,0.36
"34","for-loop-index","cohort","10",118,250,10,50,0.000301601777713422,0.0027144159994208,TRUE,"0.280744387860627","0.119724500448427","0.602737947648859",0.472,0.2
"35","for-loop-index","cohort","5",118,250,6,50,1.4361177966353e-06,1.4361177966353e-05,TRUE,"0.153351757004157","0.051530725782186","0.378873180013091",0.472,0.12
"36","for-loop-index","downsampled","100",118,250,23,50,1,1,FALSE,"0.953055986886339","0.492698383342883","1.83149403312926",0.472,0.46
"37","for-loop-index","downsampled","50",118,250,15,50,0.0290667166242939,0.203467016370057,FALSE,"0.480549738171102","0.231543891630295","0.956574266225842",0.472,0.3
"38","for-loop-index","downsampled","25",118,250,21,50,0.537132376149358,1,FALSE,"0.810620137897063","0.415135579847528","1.56131585100774",0.472,0.42
"39","for-loop-index","downsampled","10",118,250,19,50,0.277049472532651,1,FALSE,"0.686476742137074","0.346631835126895","1.33045436952704",0.472,0.38
"40","for-loop-index","downsampled","5",118,250,13,50,0.0075033305874994,0.0600266446999952,FALSE,"0.394195820188124","0.183029094892491","0.802772818309044",0.472,0.26
