"","treatment","num_tests","dilution","solution_found","max_gen","slurm_job_id","slurm_task_id","directory","found"
"12","cohort",10,"0_00000","True",1934,18721573,12,"cohort/10/0_00000/17012",TRUE
"29","cohort",10,"0_00000","False",2217,18721573,29,"cohort/10/0_00000/17029",FALSE
"53","cohort",10,"0_50000","False",2478,18721574,3,"cohort/10/0_50000/17003",FALSE
"71","cohort",10,"0_50000","False",2391,18721574,21,"cohort/10/0_50000/17021",FALSE
"99","cohort",10,"0_50000","True",2902,18721574,49,"cohort/10/0_50000/17049",TRUE
"301","reduced",10,"0_00000","False",367,18721579,1,"reduced/10/0_00000/17001",FALSE
"302","reduced",10,"0_00000","False",602,18721579,2,"reduced/10/0_00000/17002",FALSE
"303","reduced",10,"0_00000","False",690,18721579,3,"reduced/10/0_00000/17003",FALSE
"304","reduced",10,"0_00000","False",338,18721579,4,"reduced/10/0_00000/17004",FALSE
"305","reduced",10,"0_00000","False",397,18721579,5,"reduced/10/0_00000/17005",FALSE
"306","reduced",10,"0_00000","False",407,18721579,6,"reduced/10/0_00000/17006",FALSE
"307","reduced",10,"0_00000","False",655,18721579,7,"reduced/10/0_00000/17007",FALSE
"308","reduced",10,"0_00000","False",995,18721579,8,"reduced/10/0_00000/17008",FALSE
"309","reduced",10,"0_00000","False",1891,18721579,9,"reduced/10/0_00000/17009",FALSE
"310","reduced",10,"0_00000","False",948,18721579,10,"reduced/10/0_00000/17010",FALSE
"311","reduced",10,"0_00000","False",513,18721579,11,"reduced/10/0_00000/17011",FALSE
"312","reduced",10,"0_00000","False",199,18721579,12,"reduced/10/0_00000/17012",FALSE
"313","reduced",10,"0_00000","False",566,18721579,13,"reduced/10/0_00000/17013",FALSE
"314","reduced",10,"0_00000","False",499,18721579,14,"reduced/10/0_00000/17014",FALSE
"315","reduced",10,"0_00000","False",358,18721579,15,"reduced/10/0_00000/17015",FALSE
"316","reduced",10,"0_00000","False",494,18721579,16,"reduced/10/0_00000/17016",FALSE
"317","reduced",10,"0_00000","False",1530,18721579,17,"reduced/10/0_00000/17017",FALSE
"318","reduced",10,"0_00000","False",470,18721579,18,"reduced/10/0_00000/17018",FALSE
"319","reduced",10,"0_00000","False",903,18721579,19,"reduced/10/0_00000/17019",FALSE
"320","reduced",10,"0_00000","False",298,18721579,20,"reduced/10/0_00000/17020",FALSE
"321","reduced",10,"0_00000","False",699,18721579,21,"reduced/10/0_00000/17021",FALSE
"323","reduced",10,"0_00000","False",451,18721579,23,"reduced/10/0_00000/17023",FALSE
"324","reduced",10,"0_00000","False",140,18721579,24,"reduced/10/0_00000/17024",FALSE
"325","reduced",10,"0_00000","False",980,18721579,25,"reduced/10/0_00000/17025",FALSE
"326","reduced",10,"0_00000","False",621,18721579,26,"reduced/10/0_00000/17026",FALSE
"327","reduced",10,"0_00000","False",781,18721579,27,"reduced/10/0_00000/17027",FALSE
"328","reduced",10,"0_00000","False",565,18721579,28,"reduced/10/0_00000/17028",FALSE
"329","reduced",10,"0_00000","False",950,18721579,29,"reduced/10/0_00000/17029",FALSE
"330","reduced",10,"0_00000","False",768,18721579,30,"reduced/10/0_00000/17030",FALSE
"331","reduced",10,"0_00000","False",708,18721579,31,"reduced/10/0_00000/17031",FALSE
"332","reduced",10,"0_00000","False",506,18721579,32,"reduced/10/0_00000/17032",FALSE
"333","reduced",10,"0_00000","False",914,18721579,33,"reduced/10/0_00000/17033",FALSE
"334","reduced",10,"0_00000","False",166,18721579,34,"reduced/10/0_00000/17034",FALSE
"335","reduced",10,"0_00000","False",532,18721579,35,"reduced/10/0_00000/17035",FALSE
"336","reduced",10,"0_00000","False",1543,18721579,36,"reduced/10/0_00000/17036",FALSE
"337","reduced",10,"0_00000","False",474,18721579,37,"reduced/10/0_00000/17037",FALSE
"338","reduced",10,"0_00000","False",462,18721579,38,"reduced/10/0_00000/17038",FALSE
"340","reduced",10,"0_00000","False",936,18721579,40,"reduced/10/0_00000/17040",FALSE
"341","reduced",10,"0_00000","False",659,18721579,41,"reduced/10/0_00000/17041",FALSE
"342","reduced",10,"0_00000","False",1067,18721579,42,"reduced/10/0_00000/17042",FALSE
"343","reduced",10,"0_00000","False",992,18721579,43,"reduced/10/0_00000/17043",FALSE
"344","reduced",10,"0_00000","False",703,18721579,44,"reduced/10/0_00000/17044",FALSE
"345","reduced",10,"0_00000","False",1833,18721579,45,"reduced/10/0_00000/17045",FALSE
"346","reduced",10,"0_00000","False",290,18721579,46,"reduced/10/0_00000/17046",FALSE
"347","reduced",10,"0_00000","False",351,18721579,47,"reduced/10/0_00000/17047",FALSE
"348","reduced",10,"0_00000","False",394,18721579,48,"reduced/10/0_00000/17048",FALSE
"349","reduced",10,"0_00000","False",355,18721579,49,"reduced/10/0_00000/17049",FALSE
